name,runway,time,city,money,brand
速腾 2009款 1.6L/2V 时尚型真皮版 手动,3.90,2009,昆明,4.80,大众
速腾 2012款 1.4T 双离合 豪华型,5.00,2012,南京,8.98,大众
甲壳虫 2009款 敞篷 2.0顶配,6.80,2008,柳州,7.30,大众
高尔夫 2011款 1.6L 手动舒适型,6.30,2012,郑州,5.70,大众
高尔夫 2004款 1.8L 自动舒适型,8.80,2005,南京,2.20,大众
帕萨特 2016款 330TSI DSG御尊版,1.19,2016,济南,19.58,大众
帕萨特 2013款 1.8T 双离合 御尊版,5.24,2013,成都,13.88,大众
帕萨特 2005款 领驭 1.8T 自动豪华型,8.00,2006,上海,3.58,大众
POLO 2009款 劲情 1.6 自动风尚版,7.70,2010,郑州,4.80,大众
宝来 2013款 1.6L 自动 舒适型,5.00,2013,武汉,7.98,大众
桑塔纳 2006款 3000 超越者 1.8手动舒适型,9.25,2008,常州,2.80,大众
朗逸 2011款 1.6L 自动品悠版,7.00,2010,苏州,5.28,大众
POLO 2009款 劲取 1.4L 自动雅致版,3.29,2011,成都,4.58,大众
高尔夫 2004款 1.6L 自动舒适型,9.72,2004,济南,1.70,大众
朗逸 2013款 1.6L 自动 风尚版,2.10,2015,泉州,9.50,大众
大众CC 2013款 2.0T 双离合 尊贵型,3.00,2014,上海,16.88,大众
甲壳虫 2014款 1.2 TSI 时尚型,3.00,2014,济南,15.98,大众
宝来 2017款 1.6L 手自一体 舒适版,0.30,2017,宁波,9.73,大众
Tiguan 2012款 2.0 TSI 舒适版,2.50,2014,北京,25.50,大众
凌渡 2017款 230TSI 双离合 风尚版,0.70,2016,郑州,12.58,大众
朗境 2014款 1.6L 手自一体,1.84,2015,东莞,12.68,大众
途观 2015款 1.8TSI 手自一体 两驱 豪华版,0.53,2015,上海,19.08,大众
高尔夫 2012款 1.4T 自动舒适型,2.90,2014,哈尔滨,11.00,大众
途观L 2017款 380TSI 双离合 四驱 豪华版,0.39,2017,北京,28.20,大众
捷达 2009款 CIF-P 1.6L 手动伙伴精英版,5.60,2010,柳州,1.85,大众
尚酷 2009款 1.4 TSI 风尚版,3.50,2010,无锡,10.80,大众
途锐 2014款 3.0TSI V6 新锐版,2.87,2014,哈尔滨,39.80,大众
甲壳虫 2013款 1.4 TSI 时尚型,3.42,2013,成都,12.88,大众
捷达 2013款 1.4L 手动时尚型,0.55,2015,太原,6.20,大众
朗逸 2015款 1.6L 自动 舒适版,0.90,2017,柳州,9.88,大众
POLO 2013款 1.6L 自动 舒适版,4.00,2012,泉州,5.98,大众
高尔夫 2005款 1.6L 手动时尚型,4.49,2008,南京,3.50,大众
捷达 2015款 质惠版 1.6L 手动时尚型,0.29,2017,成都,7.68,大众
凌渡 2017款 230TSI 双离合 风尚版,0.03,2018,唐山,12.98,大众
速腾 2012款 1.6L 手自一体 舒适型,1.90,2014,石家庄,8.80,大众
POLO 2013款 1.6L 自动 舒适版,4.00,2012,洛阳,5.78,大众
甲壳虫 2013款 1.4 TSI 时尚型,5.00,2013,长沙,13.98,大众
朗逸 2013款 经典款 1.6L 手动 舒适版,3.00,2015,兰州,8.08,大众
高尔夫 2012款 1.6L 手动 舒适型,5.00,2013,沈阳,6.80,大众
高尔夫 2004款 1.6L 自动舒适型,12.00,2004,来宾,2.20,大众
速腾 2014款 1.8T 双离合 旗舰型,4.30,2013,郑州,10.50,大众
尚酷 2014款 1.4 TSI 竞驰版,3.00,2014,南京,15.80,大众
POLO 2015款 1.6L 自动 30周年纪念版,2.00,2015,苏州,7.18,大众
POLO 2011款 1.4L 自动 致尚版,5.80,2011,贵阳,4.90,大众
桑塔纳 2016款 1.6L 手动 舒适版,0.50,2017,郑州,7.20,大众
POLO 2016款 1.6L 自动 豪华版,1.10,2016,石家庄,8.89,大众
朗逸 2008款 1.6L自动品轩版,6.70,2008,上海,4.36,大众
POLO 2014款 Cross 1.6L 手自一体,2.30,2015,太原,8.70,大众
尚酷 2013款 2.0 TSI GTS,5.00,2012,石家庄,14.58,大众
POLO 2011款 1.4L 手动 致乐版,6.86,2011,西安,4.20,大众
速腾 2012款 1.4T 双离合 豪华型,5.60,2011,成都,8.20,大众
大众CC 2011款 1.8T 豪华型,4.60,2011,长春,13.20,大众
凌渡 2017款 230TSI 双离合 风尚版,0.96,2017,郑州,12.78,大众
速腾 2017款 230TSI 双离合 豪华版,0.23,2017,泉州,14.98,大众
大众CC 2016款 2.0T 双离合 尊贵版,2.30,2015,成都,15.68,大众
POLO 2014款 1.6L 自动 豪华版,3.20,2015,柳州,7.38,大众
途观 2015款 1.8TSI 手自一体 四驱 风尚视野版,1.58,2016,杭州,19.30,大众
朗逸 2013款 1.6L 自动风尚版 经典,2.10,2015,许昌,8.30,大众
帕萨特 2015款 1.8T 双离合 御尊版,6.00,2015,西安,15.68,大众
帕萨特 2009款 领驭 1.8T 自动尊杰型,15.00,2010,石家庄,7.90,大众
凌渡 2015款 1.4T DSG 230TSI 风尚版,3.16,2016,合肥,11.98,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪...,1.20,2017,宁波,12.46,大众
迈腾 2013款 2.0T 手自一体 豪华型,9.80,2013,西安,14.60,大众
迈腾 2013款 1.8T 手自一体 豪华型,7.00,2014,长春,15.58,大众
高尔夫 2012款 1.6L 手动 时尚型,5.50,2013,银川,7.00,大众
朗行 2013款 1.6L 自动 舒适版,6.15,2015,上海,9.40,大众
帕萨特 2014款 1.8T 双离合 御尊导航版,8.50,2014,南京,15.60,大众
大众CC 2015款 2.0T 双离合 至尊型,6.08,2015,包头,21.98,大众
高尔夫 2010款 1.4T 自动豪华型,9.10,2010,广州,7.98,大众
尚酷 2015款 2.0TSI R,3.37,2016,佛山,26.80,大众
帕萨特 2009款 领驭 1.8T 自动尊仕型,14.72,2011,上海,8.20,大众
迈腾 2011款 1.8TSI DSG舒适型,15.02,2011,上海,10.58,大众
夏朗 2013款 1.8L TSI 舒适型,10.83,2013,上海,15.30,大众
辉昂 2018款 380TSI 两驱 至尊旗舰版,1.50,2017,上海,38.00,大众
朗逸 2013款 1.6L 自动 豪华版,3.00,2017,东莞,10.40,大众
帕萨特 2011款 领驭 1.8T 自动尊品型,14.30,2011,上海,7.80,大众
帕萨特 2013款 1.8T 双离合 至尊版,5.90,2013,上海,11.98,大众
Tiguan 2015款 2.0 TSI 舒适版,7.50,2015,深圳,21.68,大众
夏朗 2016款 1.8TSI 舒适型,2.22,2017,北京,19.98,大众
POLO 2014款 1.6L 自动 豪华版,4.00,2015,成都,7.58,大众
途观L 2017款 330TSI 双离合 两驱 旗舰版,2.80,2017,厦门,24.98,大众
大众CC 2013款 1.8T 双离合 豪华型,8.80,2014,昆明,18.50,大众
高尔夫 2015款 1.4TSI 自动旗舰型,7.00,2015,西安,12.20,大众
帕萨特 2014款 1.8T 自动 尊荣版,7.80,2015,石家庄,13.88,大众
高尔夫 2012款 1.4T 自动舒适型,14.30,2012,南宁,7.98,大众
大众CC 2012款 2.0T 双离合 豪华型,13.38,2012,上海,15.30,大众
帕萨特 2015款 1.8T 双离合 尊雅版,6.00,2015,苏州,13.68,大众
帕萨特 2015款 1.8T 双离合 御尊版,7.54,2015,上海,15.58,大众
大众CC 2013款 3.0L V6 FSI,6.00,2014,武汉,18.99,大众
途锐 2006款 3.2LV6高配,10.00,2011,重庆,18.18,大众
凌渡 2015款 1.4T DSG 280TSI 舒适版,9.10,2015,泉州,13.68,大众
POLO 2016款 1.6L 自动 舒适版,3.20,2016,宁波,8.04,大众
朗逸 2015款 1.6L 自动 舒适版,2.90,2016,武汉,8.50,大众
迈腾 2017款 330TSI 双离合 豪华版,4.90,2017,哈尔滨,19.98,大众
朗逸 2011款 1.6L 自动品雅版,3.80,2011,上海,4.80,大众
大众CC 2013款 1.8T 双离合 尊贵型,6.50,2014,宁波,16.98,大众
凌渡 2018款 230TSI 双离合 风尚版,0.60,2018,宁波,12.02,大众
速腾 2012款 1.4T 双离合 时尚型,0.40,2014,长春,10.20,大众
朗逸 2013款 1.6L 自动 风尚版,0.53,2013,杭州,7.50,大众
速腾 2012款 1.4T 手动 时尚型,0.40,2015,长春,9.90,大众
宝来 2015款 质惠版 1.6L 自动时尚型,0.30,2016,青岛,8.98,大众
速腾 2012款 1.6L 手自一体 舒适型,0.48,2014,长春,9.90,大众
宝来 2017款 1.6L 手自一体 舒适版,0.18,2017,广州,10.68,大众
大众CC 2016款 2.0T 双离合 至尊版,0.44,2015,南京,22.00,大众
高尔夫·嘉旅 2016款 280TSI 双离合 旗舰版,0.18,2017,成都,18.50,大众
朗逸 2011款 1.6L 自动品悠版,1.09,2011,南宁,6.88,大众
速腾 2018款 280TSI 双离合 豪华版,0.20,2017,温州,13.50,大众
POLO 2013款 1.6L 自动 舒适版,5.13,2012,常州,6.28,大众
朗逸 2008款 1.6L手动品雅版,7.40,2010,成都,4.48,大众
速腾 2013款 2.0T 双离合 GLI,3.00,2015,昆明,15.80,大众
桑塔纳 2015款 1.6L 手动 豪华版,2.00,2015,贵阳,6.19,大众
帕萨特 2004款 1.8T手动天窗增值型,8.82,2004,成都,1.50,大众
朗逸 2013款 经典款 1.6L 手自一体 风尚版,1.94,2015,大连,9.30,大众
帕萨特 2015款 1.8T 双离合 至尊版,2.00,2015,贵阳,16.80,大众
速腾 2010款 1.4 TSI 自动 技术型,8.30,2009,昆明,6.60,大众
朗逸 2008款 1.6L自动品雅版,8.00,2009,银川,5.00,大众
POLO 2006款 劲取 1.4L 手动 雅致版,6.80,2007,苏州,2.20,大众
高尔夫 2014款 1.4TSI 自动舒适型,2.20,2014,福州,11.88,大众
速腾 2016款 1.4T 双离合 230TSI 25周年纪念版,1.60,2015,宁波,11.69,大众
速腾 2007款 2.0L 手自一体舒适型,10.00,2008,温州,3.80,大众
迈腾 2007款 1.8TSI 手自一体豪华型,9.60,2008,昆明,8.00,大众
捷达 2013款 1.6L 手动舒适型,3.25,2013,中山,6.38,大众
朗逸 2011款 1.6L 手动品悠版,6.70,2011,西安,4.90,大众
捷达 2013款 1.6L 手动时尚型,2.80,2014,黔西南,5.38,大众
朗逸 2010款 1.4TSI运动版,6.80,2010,昆明,5.60,大众
高尔夫 2015款 1.4TSI 自动豪华型,3.00,2015,武汉,11.58,大众
POLO 2016款 1.4L 手动 风尚版,1.28,2016,临沂,5.70,大众
宝来 2013款 1.6L 手动 舒适型,4.30,2013,柳州,8.10,大众
迈腾 2012款 2.0TSI DSG 尊贵型,5.00,2013,重庆,12.80,大众
捷达 2013款 1.6L 手动时尚型,4.24,2013,昆明,5.18,大众
帕萨特 2015款 1.8T 双离合 尊雅版,2.50,2015,贵阳,16.80,大众
宝来 2017款 1.6L 手自一体 时尚版,0.75,2017,泉州,9.50,大众
朗行 2013款 1.6L 手动 风尚版,4.60,2013,贵阳,6.50,大众
POLO 2012款 Cross 1.6L 手自一体,4.79,2013,常州,7.65,大众
辉腾 2009款 V6 5座加长舒适版,8.00,2010,南昌,24.80,大众
POLO 2011款 1.4L 手动 致乐版,5.50,2011,西安,4.10,大众
帕萨特 2011款 2.0T 自动 Flagship 至尊版,3.90,2012,成都,11.37,大众
高尔夫 2011款 1.6L 自动时尚型,5.30,2011,武汉,6.79,大众
途观 2010款 菁英版 1.8TSI 手自一体 4MOTION,6.30,2010,哈尔滨,11.80,大众
POLO 2013款 1.4L 手动 风尚版,2.12,2013,泉州,5.30,大众
朗逸 2008款 1.6L自动品轩版,8.50,2009,哈尔滨,5.50,大众
甲壳虫 2013款 1.2 TSI 时尚型,3.00,2013,南京,12.80,大众
速腾 2015款 1.4T 双离合 230TSI 舒适型,2.60,2015,黔西南,10.30,大众
捷达 2011款 1.6 手动 纪念版,6.00,2011,太原,3.60,大众
POLO 2016款 1.4L 自动 风尚版,1.00,2016,贵阳,6.80,大众
帕萨特 2014款 1.8T 双离合 尊荣版,1.00,2016,郑州,18.00,大众
POLO 2014款 1.6L 自动 豪华版,2.80,2014,西安,7.98,大众
凌渡 2015款 1.4T DSG 230TSI 风尚版,2.80,2015,温州,11.88,大众
大众CC 2015款 1.8T 双离合 豪华型,3.00,2014,泉州,18.80,大众
捷达 2010款 伙伴,5.00,2010,太原,3.20,大众
桑塔纳 2008款 志俊 1.8MT 舒适型,6.23,2011,临沂,3.70,大众
宝来 2013款 1.6L 手动 舒适型,2.72,2014,长春,7.40,大众
宝来 2016款 1.6L 手自一体豪华型,1.50,2016,潍坊,9.30,大众
朗逸 2015款 1.6L 自动 风尚版 易鑫租赁,1.50,2016,郑州,8.71,大众
高尔夫 2010款 1.4T 手动舒适型,5.08,2010,深圳,5.98,大众
宝来 2013款 1.6L 自动 豪华型,4.70,2013,福州,7.50,大众
朗逸 2017款 1.6L 手自一体 风尚版,0.49,2017,青岛,9.30,大众
途观 2010款 风尚版 1.8TSI 手自一体 4MOTION,5.00,2010,宁波,11.06,大众
尚酷 2015款 2.0TSI 豪华版,1.50,2016,郑州,18.88,大众
帕萨特 2015款 1.8T 双离合 至尊版,1.20,2016,昆明,18.28,大众
桑塔纳 2006款 1.8手动基本型,3.20,2012,沈阳,3.80,大众
捷达 2015款 1.6L 手动时尚型,1.00,2016,西安,6.80,大众
速腾 2017款 230TSI 双离合 豪华版,0.30,2017,温州,13.50,大众
高尔夫 2014款 1.6L 自动舒适型,1.58,2015,昆明,10.80,大众
桑塔纳 2016款 1.6L 手动 风尚版,0.06,2017,柳州,8.50,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,0.07,2017,成都,13.98,大众
甲壳虫 2009款 2.0顶配,4.80,2009,晋中,9.90,大众
朗逸 2010款 1.6L 自动品轩进享版,4.10,2010,武汉,5.60,大众
途昂 2017款 530 V6 四驱 旗舰版,0.07,2017,太原,48.89,大众
捷达 2015款 质惠版 1.6L 手动时尚型,1.00,2016,昆明,6.48,大众
凌渡 2015款 1.4T  DSG 280TSI 豪华版,0.15,2016,临沂,16.00,大众
速腾 2012款 1.4T 双离合 旗舰型,3.00,2013,温州,9.20,大众
速腾 2017款 230TSI 双离合 豪华版,0.61,2017,厦门,14.58,大众
速腾 2015款 1.6L 手自一体 舒适型,0.70,2016,石家庄,11.88,大众
POLO 2016款 1.4L 手动 风尚版,0.50,2016,合肥,5.80,大众
迈腾 2007款 1.8TSI 手动标准型,6.00,2007,苏州,4.38,大众
大众CC 2015款 2.0T 双离合 至尊型,0.26,2015,泉州,22.38,大众
朗逸 2015款 1.6L 自动 舒适版,1.00,2016,温州,9.50,大众
朗行 2013款 1.6L 自动 舒适版,2.30,2014,荆州,8.50,大众
速腾 2017款 230TSI 双离合 豪华版,0.10,2017,长沙,14.18,大众
桑塔纳 2015款 1.6L 手动 风尚版,0.30,2015,合肥,4.98,大众
高尔夫 2015款 1.6L 自动舒适型,0.30,2015,厦门,9.58,大众
宝来 2008款 1.6L 自动豪华型,5.30,2009,长春,4.99,大众
捷达 2015款 1.6L 手动时尚型,2.10,2014,东莞,5.80,大众
甲壳虫 2013款 1.4 TSI 时尚型,3.00,2013,厦门,12.98,大众
POLO 2013款 1.4L 手动 风尚版,3.00,2013,红河,5.26,大众
宝来 2012款 1.6L 手动 时尚型,2.00,2012,烟台,6.30,大众
途观L 2017款 330TSI 双离合 两驱 旗舰版,0.20,2017,郑州,22.80,大众
速腾 2017款 230TSI 双离合 豪华版,0.38,2017,长沙,14.38,大众
宝来 2012款 1.6L 自动 豪华型,3.40,2012,太原,6.30,大众
高尔夫 2015款 1.6L 自动舒适型,2.00,2015,东莞,9.98,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.16,2017,上饶,28.30,大众
途观 2016款 280TSI 双离合 两驱 丝绸之路风尚版,0.61,2017,武汉,17.28,大众
POLO 2007款 Cross 1.6 MT,4.63,2010,济南,5.08,大众
POLO 2013款 1.4L 自动 舒适版,3.12,2013,石家庄,6.70,大众
高尔夫·嘉旅 2016款 1.6L 手自一体 舒适版,0.90,2016,长春,11.40,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,0.14,2017,泉州,15.08,大众
POLO 2011款 1.6L 自动 致酷版,3.80,2012,温州,5.50,大众
速腾 2018款 280TSI 双离合 舒适版,0.10,2017,郑州,12.20,大众
朗逸 2013款 经典款 1.6L 手自一体 风尚版,2.30,2014,镇江,7.98,大众
甲壳虫 2014款 1.4 TSI 豪华型,2.10,2015,西安,18.60,大众
宝来 2018款 1.5L 手自一体 舒适版,0.10,2018,西安,9.90,大众
途观 2016款 300TSI 手自一体 两驱 豪华版,1.75,2015,成都,14.88,大众
帕萨特 2007款 领驭 1.8T 自动豪华型,6.10,2008,哈尔滨,4.98,大众
辉昂 2016款 2.0T DSG 380TSI 两驱至尊版,0.20,2016,青岛,31.80,大众
POLO 2007款 劲情 1.4手动时尚版,6.28,2008,成都,2.58,大众
POLO 2012款 Cross 1.6L 手自一体,2.70,2014,北京,7.50,大众
POLO 2011款 1.4L 自动 致尚版,4.00,2012,武汉,4.98,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.51,2017,长沙,29.68,大众
POLO 2014款 1.6L 自动 豪华版,0.60,2015,兰州,7.98,大众
蔚领 2017款 1.4T 双离合 豪华版,0.30,2016,温州,13.50,大众
朗逸 2011款 1.6L 自动品轩版,1.50,2011,上海,6.58,大众
速腾 2017款 180TSI 自动 臻享型,0.10,2017,深圳,13.88,大众
高尔夫 2017款 230TSI 双离合 舒适百万辆纪念版,0.30,2017,郑州,13.60,大众
帕萨特 2017款 330TSI 双离合 御尊版,0.02,2018,唐山,22.90,大众
捷达 2017款 1.5L 自动 舒适版,0.36,2016,保定,8.60,大众
速腾 2017款 230TSI 双离合 豪华版,0.30,2017,中山,14.58,大众
桑塔纳 2015款 1.6L 自动 风尚版,0.56,2016,哈尔滨,6.98,大众
宝来 2017款 1.6L 手自一体 舒适版,0.32,2017,天津,10.58,大众
速腾 2018款 280TSI 双离合 豪华版,0.30,2017,温州,13.50,大众
朗逸 2015款 1.6L 自动 豪华版,0.77,2015,西安,9.58,大众
宝来 2017款 230TSI 双离合 舒适版,0.02,2017,成都,10.68,大众
辉昂 2016款 2.0T DSG 380TSI 两驱至尊版,0.47,2016,青岛,31.50,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,0.13,2017,泉州,14.98,大众
迈特威 2011款 2.0TSI 双离合 尊享版,0.60,2015,泉州,41.88,大众
宝来 2017款 1.6L 手自一体 豪华版,0.12,2017,常州,11.50,大众
大众CC 2016款 2.0T 双离合 豪华版,0.13,2017,泉州,24.28,大众
蔚领 2017款 1.4T 双离合 豪华版,0.30,2017,温州,14.50,大众
宝来 2017款 1.6L 手自一体 舒适版,0.17,2017,泉州,10.98,大众
辉昂 2016款 2.0T DSG 380TSI 两驱至尊版,0.60,2016,石家庄,31.90,大众
大众CC 2015款 1.8T 双离合 豪华型,0.87,2016,青岛,20.98,大众
甲壳虫 2014款 1.2 TSI 时尚型,1.20,2015,厦门,16.60,大众
POLO 2013款 1.4L 自动 舒适版,0.62,2014,杭州,6.89,大众
途观 2013款 1.8TSI 手自一体 前驱 舒适版,1.49,2014,北京,17.20,大众
桑塔纳 2015款 1.6L 自动 舒适版,1.27,2015,上海,10.28,大众
POLO 2016款 Cross 1.6L 手自一体,0.80,2016,长沙,8.98,大众
辉昂 2016款 2.0T DSG 380TSI 两驱至尊版,0.62,2016,惠州,33.40,大众
甲壳虫 2017款 280TSI 沙丘越野版,0.50,2017,成都,18.90,大众
POLO 2016款 1.6L 自动 豪华版,0.20,2017,温州,9.30,大众
朗逸 2013款 经典款 1.4TSI 手动 舒适版,1.40,2015,兰州,8.60,大众
宝来 2014款 1.6L 手动 时尚型,0.80,2014,合肥,6.78,大众
POLO 2011款 1.4L 自动 致尚版,2.71,2011,泉州,6.10,大众
POLO 2016款 1.4L 手动 风尚版,0.35,2017,郑州,6.60,大众
速腾 2009款 1.6L/2V 时尚型真皮版 手动,3.91,2009,昆明,4.88,大众
大众CC 2016款 1.8T 双离合 豪华版,0.50,2017,苏州,22.00,大众
POLO 2012款 Cross 1.6L 手自一体,1.70,2014,长沙,7.20,大众
速腾 2009款 2.0L/2V 舒适型真皮版 手动,4.10,2009,济南,5.95,大众
甲壳虫 2014款 1.2 TSI 舒适型,0.70,2016,合肥,18.20,大众
高尔夫·嘉旅 2016款 1.6L 手自一体 舒适版,0.70,2016,长春,11.50,大众
宝来 2017款 1.6L 手自一体 舒适版,0.27,2017,泉州,10.98,大众
宝来 2008款 1.6L 自动豪华型HL,4.50,2009,长沙,3.98,大众
途观 2010款 菁英版 1.8TSI 手自一体两驱版,3.10,2012,成都,12.38,大众
POLO 2012款 Cross 1.6L 手自一体,2.25,2013,乌鲁木齐,7.30,大众
POLO 2012款 GTI 1.4TSI DSG,2.60,2013,上海,8.39,大众
POLO 2014款 1.6L 自动 豪华版,1.48,2015,青岛,7.70,大众
POLO 2011款 1.6L 自动 致酷版,3.37,2011,成都,4.98,大众
途观 2012款 1.8TSI 手自一体 前驱 菁英版,3.17,2012,成都,12.38,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.50,2017,成都,29.20,大众
POLO 2013款 1.4L 自动 舒适版,2.50,2013,福州,6.06,大众
高尔夫 2015款 1.4TSI 自动旗舰型,1.50,2015,深圳,11.98,大众
桑塔纳 2015款 1.6L 自动 风尚版,0.50,2016,合肥,7.90,大众
捷达 2015款 1.6L 手动时尚型,3.50,2016,哈尔滨,5.88,大众
高尔夫 2016款 1.4TSI 自动舒适型,3.20,2016,合肥,11.90,大众
帕萨特 2014款 1.4T 双离合 尊荣版,5.00,2015,太原,13.88,大众
帕萨特 2015款 1.8T 自动 尊荣版,4.00,2015,西安,14.98,大众
宝来 2018款 1.5L 手自一体 时尚版,0.03,2018,温州,10.28,大众
高尔夫 2012款 1.4T 自动豪华型,8.20,2012,南京,8.30,大众
帕萨特 2008款 2.0L 手动 经典型,12.00,2010,沈阳,4.90,大众
帕萨特 2007款 领驭 1.8T 自动豪华型,14.60,2008,南京,5.80,大众
帕萨特 2007款 领驭 1.8T 自动豪华型,13.82,2009,上海,5.38,大众
速腾 2012款 1.6L 手自一体 舒适型,6.78,2013,天津,9.30,大众
宝来 2007款 两厢 1.8L 手动豪华型HL,17.30,2007,茂名,3.38,大众
帕萨特 2015款 1.8T 双离合 尊荣版,3.59,2015,上海,12.80,大众
高尔夫 2014款 1.4TSI 自动舒适型,6.00,2014,哈尔滨,11.28,大众
朗逸 2017款 230TSI 双离合 豪华版,1.00,2017,长沙,11.38,大众
蔚领 2018款 1.5L 手自一体 时尚版,0.05,2018,温州,11.68,大众
朗逸 2011款 1.6L 自动品悠版,12.07,2010,上海,5.60,大众
迈特威 2011款 2.0TSI 双离合 豪华版,8.80,2012,太原,25.80,大众
速腾 2014款 1.6L 手自一体 舒适型,6.50,2014,厦门,9.98,大众
途观 2010款 菁英版 1.8TSI 手自一体两驱版,11.00,2011,南昌,13.80,大众
桑塔纳 2008款 志俊 1.8MT 舒适型,10.20,2011,上海,3.70,大众
大众CC 2012款 1.8T 双离合 精英型,8.60,2012,深圳,14.38,大众
捷达 2016款 1.6L 自动 25周年纪念版,2.55,2016,南京,6.98,大众
POLO 2011款 1.4L 手动 致乐版,11.00,2011,东莞,4.08,大众
途观 2015款 1.8TSI 手自一体 前驱 舒适版,4.60,2015,郑州,16.99,大众
捷达 2009款 CIF-P 1.6L 手动伙伴精英版,15.00,2009,东莞,1.98,大众
高尔夫 2016款 1.6L 自动舒适型,2.90,2016,合肥,12.68,大众
帕萨特 2005款 领驭 1.8T 自动豪华型,12.00,2007,上海,2.88,大众
帕萨特 2011款 2.0T 自动 Flagship 至尊版,9.50,2012,成都,13.68,大众
途观 2013款 1.8TSI 手自一体 前驱 风尚版,7.00,2014,济宁,14.90,大众
速腾 2016款 1.4T 双离合 230TSI 25周年纪念...,3.80,2016,南充,12.28,大众
大众CC 2013款 2.0T 双离合 至尊型,5.50,2015,南京,21.20,大众
尚酷 2011款 2.0 TSI 豪华版,5.90,2014,郑州,16.88,大众
迈腾 2013款 1.8T 手自一体 豪华型,7.50,2013,保定,14.58,大众
帕萨特 2013款 1.4T 手动 尊荣版,8.00,2013,济宁,10.80,大众
朗逸 2017款 1.6L 手自一体 舒适版,2.00,2017,武汉,8.90,大众
高尔夫 2014款 1.4TSI 自动舒适型,7.00,2014,西安,10.98,大众
迈特威 2014款 2.0TSI 双离合 行政版,4.00,2016,太原,41.80,大众
宝来 2012款 1.6L 手动 时尚型,11.00,2012,西安,4.89,大众
途安 2015款 1.4TSI 自动 5座 舒适版,3.80,2016,北京,12.20,大众
捷达 2009款 CIF-P 1.6L 手动伙伴精英版,16.00,2009,东莞,1.98,大众
迈腾 2012款 1.8T 手自一体 尊贵型,10.00,2012,南京,13.40,大众
Tiguan 2016款 2.0T 手自一体 四驱动感型,4.40,2015,深圳,21.98,大众
迈特威 2011款 2.0TSI 双离合 尊享版,6.50,2014,哈尔滨,34.98,大众
高尔夫 2016款 GTI 2.0TSI 双离合,3.30,2016,佛山,19.80,大众
高尔夫 2014款 1.4TSI 自动旗舰型,7.00,2014,厦门,11.66,大众
帕萨特 2009款 领驭 1.8T 自动尊品型,16.30,2009,上海,6.90,大众
速腾 2012款 1.4T 双离合 豪华型,9.00,2013,东莞,9.50,大众
迈腾 2013款 1.8T 手自一体 豪华型,8.50,2013,西安,13.58,大众
帕萨特 2013款 1.8T 双离合 尊荣版,5.20,2013,宁波,12.80,大众
迈腾 2013款 1.8T 手自一体 豪华型,4.21,2016,上海,15.98,大众
速腾 2012款 1.6L 手自一体  时尚型,8.65,2013,南京,9.50,大众
甲壳虫 2013款 1.4 TSI 舒适型,4.00,2013,武汉,15.98,大众
途观 2012款 1.8TSI 手自一体 前驱 风尚版,4.00,2013,重庆,13.24,大众
POLO 2012款 Cross 1.6L 手自一体,3.00,2013,合肥,6.98,大众
捷达 2007款 CIX 1.6L 手动伙伴,8.60,2008,哈尔滨,3.00,大众
凌渡 2015款 1.4T DSG 280TSI 舒适版,3.00,2015,武汉,16.88,大众
高尔夫 2012款 1.4T 自动舒适型,3.50,2014,上饶,10.66,大众
朗逸 2011款 1.6L 手动品悠版,6.80,2011,西安,5.10,大众
宝来 2012款 1.6L 手动 时尚超值版,5.62,2012,赣州,5.20,大众
宝来 2013款 1.6L 手动 时尚型,3.90,2013,南京,5.98,大众
POLO 2009款 劲情 1.6 自动Sporty,6.80,2010,武汉,4.68,大众
朗逸 2011款 1.4TSI DSG品轩版,4.00,2011,常州,6.98,大众
高尔夫 2015款 1.4TSI 自动豪华型,3.00,2015,沈阳,12.50,大众
POLO 2014款 1.4L 手动 风尚版,2.00,2014,郑州,4.60,大众
迈腾 2012款 2.0T 手自一体 尊贵型,6.10,2011,合肥,12.08,大众
捷达 2015款 质惠版 1.6L 自动时尚型,0.94,2016,大连,6.50,大众
速腾 2011款 1.4T 自动 豪华型,6.00,2011,郑州,6.50,大众
途安L 2016款 280TSI 双离合 风尚版,0.60,2017,宁波,13.48,大众
大众CC 2018款 1.8T 双离合 豪华版,0.60,2017,成都,18.88,大众
宝来 2012款 1.4T 自动 豪华型,6.00,2011,乌鲁木齐,6.98,大众
POLO 2009款 劲情 1.6 自动Sporty,4.32,2010,成都,5.10,大众
迈腾 2012款 1.8T 手自一体 豪华型,5.08,2013,昆明,13.80,大众
宝来 2015款 质惠版 1.6L 自动时尚型,1.90,2015,成都,6.98,大众
迈腾 2007款 1.8TSI 手自一体舒适型,9.20,2008,郑州,6.30,大众
高尔夫 2012款 1.4T 自动舒适型,5.00,2013,曲靖,8.80,大众
朗逸 2017款 1.6L 手自一体 舒适版,1.00,2017,温州,9.50,大众
速腾 2010款 1.4 TSI 自动 豪华型,6.80,2010,昆明,5.36,大众
